model,species_id,keystoneness
attention,93,0.02311871509529708
attention,84,0.022730882130162562
attention,41,0.022651580122622264
attention,30,0.021792421724906058
attention,66,0.021660283266798537
attention,40,0.021407971318508294
attention,95,0.021384072241828818
attention,19,0.021279544979294428
attention,87,0.02126756011078023
attention,90,0.021234475354684982
attention,89,0.021143923209923688
attention,79,0.0209467023413563
attention,34,0.020882687363612075
attention,6,0.020862895698229973
attention,50,0.020858597927309267
attention,58,0.02075034176408439
attention,10,0.02070456366452566
attention,24,0.020686729803361704
attention,9,0.020626981082923365
attention,23,0.02049308309250726
attention,78,0.020491177118465008
attention,62,0.02043776439091872
attention,75,0.020398411846150925
attention,22,0.020365111210274282
attention,48,0.020358263085118452
attention,43,0.020310437086744376
attention,56,0.020307673082392345
attention,71,0.020291206854385995
attention,69,0.020240596559214317
attention,74,0.020164939014847894
attention,81,0.020114781206835384
attention,33,0.020027201586441227
attention,11,0.020022451135472945
attention,99,0.02000214211079726
attention,59,0.02000200227691476
attention,80,0.01999104105668799
attention,25,0.019981429055379446
attention,97,0.019977528086544502
attention,7,0.01996193806343283
attention,28,0.01995682317359567
attention,2,0.01995426487925352
attention,76,0.01991217483104285
attention,31,0.01989502581143405
attention,44,0.019878735728552772
attention,70,0.01981608908978085
attention,57,0.019790871380184503
attention,77,0.01977404208091834
attention,94,0.019773592011593986
attention,82,0.019772954081558467
attention,98,0.019762248231500593
attention,65,0.019760654308802358
attention,21,0.019753973683117494
attention,54,0.019748154801165346
attention,14,0.019745800427985072
attention,18,0.01973190997817193
attention,15,0.01970665718882443
attention,20,0.019699358928035916
attention,49,0.01964388732874289
attention,29,0.019635274932840452
attention,91,0.01960560443379325
attention,68,0.019592864217289445
attention,100,0.0195705800758681
attention,38,0.019554657908663706
attention,96,0.019533018376547546
attention,32,0.01952318613682277
attention,5,0.019449115054564134
attention,52,0.019425448318179165
attention,45,0.01941598438355646
attention,73,0.0193971860545259
attention,86,0.019396114026894916
attention,85,0.019395771108915945
attention,42,0.019391472208687803
attention,13,0.019387805048541085
attention,55,0.01936692391998973
attention,83,0.019315949917753476
attention,46,0.019314440540189635
attention,61,0.019306423444252832
attention,72,0.019305416954219227
attention,4,0.019298263264419878
attention,35,0.019274541474283022
attention,64,0.019256696411720436
attention,88,0.0192440868463642
attention,92,0.019237112258226035
attention,36,0.019225846344493855
attention,27,0.01921104804863052
attention,12,0.019208994347417595
attention,53,0.01917760187013171
attention,63,0.019160299640556572
attention,1,0.01915726207176793
attention,17,0.019149453419024146
attention,67,0.019135940662793147
attention,47,0.019135855078721363
attention,39,0.019106988642027402
attention,60,0.019080326706638888
attention,37,0.019044197192288066
attention,51,0.01903641253265284
attention,8,0.019013842875383158
attention,3,0.01899879051734466
attention,26,0.018989985868476875
attention,16,0.018849076923303447
cnode,66,0.013713553993770293
cnode,41,0.013691712258795249
cnode,93,0.010218375483644094
cnode,84,0.009900000593470312
cnode,90,0.009533331196575418
cnode,23,0.00940295596360468
cnode,50,0.009340292297146384
cnode,95,0.009153454701560558
cnode,30,0.00899185783302668
cnode,96,0.008765922496678126
cnode,69,0.008742796188449612
cnode,6,0.008729445105686524
cnode,7,0.008637445137970339
cnode,71,0.008351367770553644
cnode,33,0.008341076477712303
cnode,19,0.008334374971827523
cnode,79,0.008328275954680803
cnode,44,0.00817543053454399
cnode,22,0.00816730987180524
cnode,34,0.008074665771780917
cnode,99,0.00806307201807651
cnode,89,0.008055529139201302
cnode,10,0.008053797388601997
cnode,48,0.007900021165906325
cnode,62,0.007888461722123078
cnode,87,0.007853855055967966
cnode,40,0.007824999270772461
cnode,58,0.007578209746277053
cnode,9,0.007547141515510235
cnode,97,0.007482580527450756
cnode,43,0.007411601867802175
cnode,56,0.007103350066640684
cnode,75,0.0069557858070941475
cnode,74,0.006818745456930096
cnode,20,0.006705087940855508
cnode,63,0.006704670030383045
cnode,64,0.006572192014353972
cnode,25,0.006559674145041398
cnode,78,0.006492749142522949
cnode,77,0.00648708358404833
cnode,68,0.006439186428822494
cnode,59,0.006391788944765381
cnode,81,0.006384024633874961
cnode,72,0.006364825110808216
cnode,88,0.006361336743138225
cnode,28,0.006347493476461743
cnode,92,0.006334262600109115
cnode,54,0.006235088990164273
cnode,29,0.006194165512932157
cnode,82,0.00614020487748172
cnode,38,0.006074840287131617
cnode,11,0.006067388845555879
cnode,52,0.006051314570764404
cnode,49,0.006026343257491524
cnode,37,0.005997393879546686
cnode,14,0.0059929079836031395
cnode,42,0.005968911544414805
cnode,73,0.005965589599999906
cnode,31,0.005951661348879821
cnode,5,0.005934540968529067
cnode,21,0.0059312864416509285
cnode,83,0.005920032979364269
cnode,35,0.005915889332033465
cnode,24,0.005867680400602918
cnode,94,0.005857523321272357
cnode,80,0.005843899126952927
cnode,2,0.005838365547138196
cnode,45,0.005829577144164564
cnode,61,0.005802859584283667
cnode,98,0.0057951950969054086
cnode,26,0.005757660354815234
cnode,86,0.005716255021967595
cnode,100,0.00570496239625957
cnode,57,0.005683605988348196
cnode,18,0.00568227065457344
cnode,13,0.0056150517122758176
cnode,12,0.005613069096649527
cnode,70,0.005569711308641474
cnode,46,0.005563811071710679
cnode,27,0.005457552676136906
cnode,39,0.005456815657334818
cnode,60,0.005449928721537992
cnode,76,0.005432142029004779
cnode,85,0.005427663982786507
cnode,8,0.005387640690782108
cnode,36,0.005383528824016108
cnode,32,0.0053758669626035194
cnode,55,0.005370913462126365
cnode,1,0.005367504303812576
cnode,51,0.005338504832765443
cnode,16,0.005324425361776793
cnode,65,0.005293885987250065
cnode,91,0.005274801164722938
cnode,67,0.005237159012159042
cnode,3,0.005226351956834079
cnode,17,0.005213914546939525
cnode,4,0.00520008312255159
cnode,47,0.005186254677825799
cnode,15,0.005171484653389374
cnode,53,0.005167792257394263
linear,66,0.03107709001128396
linear,41,0.030295307029309795
linear,93,0.0280164126673992
linear,50,0.027151066391842532
linear,84,0.02693987222194419
linear,90,0.02689382489729609
linear,79,0.026421176327687243
linear,30,0.02635157324860236
linear,96,0.026303187049329553
linear,7,0.02615150705354788
linear,23,0.0260930598202073
linear,19,0.025945860140128185
linear,95,0.02570883648208315
linear,33,0.02564200158785177
linear,34,0.025571274945265766
linear,69,0.02552677584591017
linear,87,0.02552245062860633
linear,58,0.02548967822335492
linear,10,0.02548459586438648
linear,40,0.0254544620420547
linear,6,0.025445786280471623
linear,22,0.025320874719946204
linear,99,0.025199449898890516
linear,9,0.025127067603020498
linear,62,0.025053280271831516
linear,97,0.024904957769115343
linear,71,0.024741546493588482
linear,56,0.02471226479506495
linear,48,0.024701560813135865
linear,89,0.024636535086112646
linear,77,0.024632917131997275
linear,72,0.024600675430134326
linear,63,0.02459588445918373
linear,44,0.024479190989558603
linear,59,0.024414819818095408
linear,43,0.02432124036414944
linear,20,0.02430376766239276
linear,64,0.024133558194772572
linear,25,0.024116701017335512
linear,80,0.024040490834553202
linear,31,0.023927975675203463
linear,29,0.023641410504237518
linear,52,0.02359779519858257
linear,92,0.02356708647183521
linear,83,0.02350942918836203
linear,49,0.023480010011886307
linear,98,0.023479132912895523
linear,42,0.02345271083725733
linear,38,0.023448134487051943
linear,18,0.023435735236098244
linear,37,0.023401549549442992
linear,75,0.023367381477558243
linear,28,0.023340717363991688
linear,24,0.023338310722455773
linear,82,0.02333817607311886
linear,78,0.023309487494435017
linear,21,0.0232868696987311
linear,94,0.023261181478209048
linear,45,0.023257550325141797
linear,73,0.023140681786222892
linear,81,0.023114170586476083
linear,55,0.023023820513204882
linear,88,0.023020755827163234
linear,51,0.023018542736715823
linear,54,0.022979545340705117
linear,86,0.022949624984703522
linear,35,0.022916341230615547
linear,5,0.022915474215640313
linear,4,0.02288699946418566
linear,70,0.022885558396427093
linear,61,0.022860060852851374
linear,12,0.022859806683944925
linear,11,0.022857836450358816
linear,60,0.02285270159121313
linear,14,0.022850994146929208
linear,46,0.022840774462218497
linear,65,0.022812834793548953
linear,26,0.022801963579839435
linear,91,0.02278057298897037
linear,3,0.022734498707727223
linear,13,0.02267230090469157
linear,39,0.02266752477588259
linear,36,0.022647163198116136
linear,27,0.02264555035182468
linear,100,0.02255916265001958
linear,47,0.022552545314855288
linear,32,0.022542735852864544
linear,85,0.022537212935706832
linear,15,0.02247481793983251
linear,57,0.022474135937564213
linear,16,0.022420983105421018
linear,1,0.022386595996777687
linear,2,0.02234479309703079
linear,53,0.02231399678888005
linear,67,0.022219844434981158
linear,8,0.02210799597396263
linear,76,0.022025225257137227
linear,17,0.021854301327831005
linear,68,0.021458678842586412
